# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.queries,1698763222042000000,1698763234439000000,3909
FileNameCache.fastMisses,1698763222042000000,1698763234439000000,275
FileNameCache.totalMisses,1698763222042000000,1698763234439000000,243
NonBlockingReadAction.finalizedExecutionsCount,1698763222042000000,1698763234439000000,8
NonBlockingReadAction.finalizedExecutionTimeUs,1698763222042000000,1698763234439000000,70162
NonBlockingReadAction.failedExecutionsCount,1698763222042000000,1698763234439000000,0
AWTEventQueue.dispatchTimeTotalNS,1698763222042000000,1698763234439000000,3129796340
NonBlockingReadAction.failedExecutionTimeUs,1698763222042000000,1698763234439000000,0
DirectByteBufferAllocator.disposed,1698763222042000000,1698763234439000000,17
FilePageCache.maxRegisteredFiles,1698763222042000000,1698763234439000000,126
FilePageCache.disposedBuffers,1698763222042000000,1698763234439000000,65
StorageLockContext.competingThreads.max,1698763222042000000,1698763234439000000,4
FilePageCache.maxCacheSizeInBytes,1698763222042000000,1698763234439000000,70287360
StorageLockContext.competingThreads.avg,1698763222042000000,1698763234439000000,0.17391304347826086
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1698763222042000000,1698763234439000000,52461568
FilePageCache.pageFastCacheHits,1698763222042000000,1698763234439000000,1981
StorageLockContext.competingThreads.90P,1698763222042000000,1698763234439000000,0
DirectByteBufferAllocator.hits,1698763222042000000,1698763234439000000,3
DirectByteBufferAllocator.reclaimed,1698763222042000000,1698763234439000000,48
FilePageCache.totalPageDisposalsUs,1698763222042000000,1698763234439000000,253
FilePageCache.pageHits,1698763222042000000,1698763234439000000,0
FilePageCache.uncachedFileAccess,1698763222042000000,1698763234439000000,20
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1698763222042000000,1698763234439000000,52461568
FilePageCache.pageLoads,1698763222042000000,1698763234439000000,65
FilePageCache.totalPageLoadsUs,1698763222042000000,1698763234439000000,171267
DirectByteBufferAllocator.misses,1698763222042000000,1698763234439000000,62
FilePageCache.pageLoadsAboveSizeThreshold,1698763222042000000,1698763234439000000,0
FilePageCache.capacityInBytes,1698763222042000000,1698763234439000000,524288000
jps.global.get.library.by.name.ms,1698763222042000000,1698763234439000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1698763222042000000,1698763234439000000,0
jps.global.initialize.library.bridges.ms,1698763222042000000,1698763234439000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1698763222042000000,1698763234439000000,1
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1698763222042000000,1698763234439000000,0
jps.module.iml.entities.serializer.load.entities.ms,1698763222042000000,1698763234439000000,8
jps.project.serializers.save.ms,1698763222042000000,1698763234439000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1698763222042000000,1698763234439000000,8
jps.app.storage.content.writer.save.component.ms,1698763222042000000,1698763234439000000,0
workspaceModel.global.apply.state.to.project.ms,1698763222042000000,1698763234439000000,24
