# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.totalPageDisposalsUs,1698763240516000000,1698763265978000000,158
FilePageCache.pageHits,1698763240516000000,1698763265978000000,0
StorageLockContext.competingThreads.avg,1698763240516000000,1698763265978000000,0.0
FilePageCache.pageLoads,1698763240516000000,1698763265978000000,59
FilePageCache.disposedBuffers,1698763240516000000,1698763265978000000,59
FilePageCache.pageLoadsAboveSizeThreshold,1698763240516000000,1698763265978000000,0
DirectByteBufferAllocator.misses,1698763240516000000,1698763265978000000,56
FilePageCache.pageFastCacheHits,1698763240516000000,1698763265978000000,1883
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1698763240516000000,1698763265978000000,52461568
FilePageCache.uncachedFileAccess,1698763240516000000,1698763265978000000,20
DirectByteBufferAllocator.disposed,1698763240516000000,1698763265978000000,11
DirectByteBufferAllocator.hits,1698763240516000000,1698763265978000000,3
StorageLockContext.competingThreads.90P,1698763240516000000,1698763265978000000,0
FilePageCache.capacityInBytes,1698763240516000000,1698763265978000000,524288000
FilePageCache.maxCacheSizeInBytes,1698763240516000000,1698763265978000000,63995904
StorageLockContext.competingThreads.max,1698763240516000000,1698763265978000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1698763240516000000,1698763265978000000,52461568
DirectByteBufferAllocator.reclaimed,1698763240516000000,1698763265978000000,48
FilePageCache.totalPageLoadsUs,1698763240516000000,1698763265978000000,108987
FilePageCache.maxRegisteredFiles,1698763240516000000,1698763265978000000,126
workspaceModel.moduleManagerBridge.create.module.instance.ms,1698763240516000000,1698763265978000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1698763240516000000,1698763265978000000,2
workspaceModel.mutableEntityStorage.entities.ms,1698763240516000000,1698763265978000000,0
workspaceModel.moduleBridge.update.option.ms,1698763240516000000,1698763265978000000,0
jps.artifact.entities.serializer.save.entities.ms,1698763240516000000,1698763265978000000,0
jps.load.initial.state.ms,1698763240516000000,1698763265978000000,4
jps.facet.change.listener.process.change.events.ms,1698763240516000000,1698763265978000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1698763240516000000,1698763265978000000,26
jps.project.serializers.save.ms,1698763240516000000,1698763265978000000,0
jps.module.iml.entities.serializer.load.entities.ms,1698763240516000000,1698763265978000000,14
jps.global.handle.changed.events.ms,1698763240516000000,1698763265978000000,0
jps.facet.change.listener.before.change.events.ms,1698763240516000000,1698763265978000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1698763240516000000,1698763265978000000,0
