# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeMaxNs,1705514110515000000,1705514170529000000,329252863
FlushQueue.executionTime90PNs,1705514110515000000,1705514170529000000,802815
FlushQueue.queueSizeAvg,1705514110515000000,1705514170529000000,17.06474820143885
FlushQueue.tasksExecuted,1705514110515000000,1705514170529000000,1529
AWTEventQueue.dispatchTimeTotalNS,1705514110515000000,1705514170529000000,3841985418
FlushQueue.executionTimeMaxNs,1705514110515000000,1705514170529000000,327155711
NonBlockingReadAction.finalizedExecutionsCount,1705514110515000000,1705514170529000000,821
NonBlockingReadAction.failedExecutionsCount,1705514110515000000,1705514170529000000,2
FlushQueue.waitingTimeAvgNs,1705514110515000000,1705514170529000000,5.225935470503597E7
FlushQueue.queueSize90P,1705514110515000000,1705514170529000000,54
AWTEventQueue.dispatchTimeAvgNs,1705514110515000000,1705514170529000000,2910135.897047691
FlushQueue.queueSizeMax,1705514110515000000,1705514170529000000,93
FlushQueue.executionTimeAvgNs,1705514110515000000,1705514170529000000,1538750.380640942
NonBlockingReadAction.failedExecutionTimeUs,1705514110515000000,1705514170529000000,251221
AWTEventQueue.eventsDispatched,1705514110515000000,1705514170529000000,1321
FlushQueue.waitingTime90PNs,1705514110515000000,1705514170529000000,157286399
WriteAction.executionsCount,1705514110515000000,1705514170529000000,7
AWTEventQueue.dispatchTime90PNs,1705514110515000000,1705514170529000000,5570559
FlushQueue.waitingTimeMaxNs,1705514110515000000,1705514170529000000,650117119
ReadAction.executionsCount,1705514110515000000,1705514170529000000,99322
NonBlockingReadAction.finalizedExecutionTimeUs,1705514110515000000,1705514170529000000,1521724
JVM.maxHeapBytes,1705514110515000000,1705514170529000000,2147483648
JVM.totalCpuTimeMs,1705514110515000000,1705514170529000000,42530
JVM.usedHeapBytes,1705514110515000000,1705514170529000000,615052800
OS.loadAverage,1705514110515000000,1705514170529000000,0.7890625
JVM.GC.collectionTimesMs,1705514110515000000,1705514170529000000,159
JVM.usedNativeBytes,1705514110515000000,1705514170529000000,381948280
JVM.totalBytesAllocated,1705514110515000000,1705514170529000000,1423925776
JVM.GC.collections,1705514110515000000,1705514170529000000,21
JVM.threadCount,1705514110515000000,1705514170529000000,128
JVM.maxNativeBytes,1705514110515000000,1705514170529000000,-1
FileNameCache.totalMisses,1705514110515000000,1705514170529000000,43355
FileNameCache.queries,1705514110515000000,1705514170529000000,577827
DirectByteBufferAllocator.hits,1705514110515000000,1705514170529000000,45
StorageLockContext.competingThreads.max,1705514110515000000,1705514170529000000,0
