# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.waitingTimeAvgNs,1705423405363000000,1705423465384000000,0.0
FlushQueue.tasksExecuted,1705423405363000000,1705423465384000000,0
FlushQueue.waitingTime90PNs,1705423405363000000,1705423465384000000,0
WriteAction.executionsCount,1705423405363000000,1705423465384000000,31
AWTEventQueue.eventsDispatched,1705423405363000000,1705423465384000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1705423405363000000,1705423465384000000,1827385
ReadAction.executionsCount,1705423405363000000,1705423465384000000,259062
FlushQueue.executionTime90PNs,1705423405363000000,1705423465384000000,0
NonBlockingReadAction.failedExecutionTimeUs,1705423405363000000,1705423465384000000,293491
FlushQueue.queueSizeAvg,1705423405363000000,1705423465384000000,0.0
FlushQueue.queueSize90P,1705423405363000000,1705423465384000000,0
AWTEventQueue.dispatchTimeMaxNs,1705423405363000000,1705423465384000000,0
FlushQueue.executionTimeMaxNs,1705423405363000000,1705423465384000000,0
AWTEventQueue.dispatchTime90PNs,1705423405363000000,1705423465384000000,0
FlushQueue.waitingTimeMaxNs,1705423405363000000,1705423465384000000,0
AWTEventQueue.dispatchTimeTotalNS,1705423405363000000,1705423465384000000,7291773481
AWTEventQueue.dispatchTimeAvgNs,1705423405363000000,1705423465384000000,0.0
FlushQueue.queueSizeMax,1705423405363000000,1705423465384000000,0
NonBlockingReadAction.failedExecutionsCount,1705423405363000000,1705423465384000000,2
FlushQueue.executionTimeAvgNs,1705423405363000000,1705423465384000000,0.0
NonBlockingReadAction.finalizedExecutionsCount,1705423405363000000,1705423465384000000,466
FilePageCache.pageHits,1705423405363000000,1705423465384000000,8
FilePageCacheLockFree.totalPagesWritten,1705423405363000000,1705423465384000000,0
FilePageCacheLockFree.totalPagesHandedOver,1705423405363000000,1705423465384000000,0
StorageLockContext.competingThreads.90P,1705423405363000000,1705423465384000000,0
MappedFileStorage.totalPagesMapped,1705423405363000000,1705423465384000000,17
DirectByteBufferAllocator.disposed,1705423405363000000,1705423465384000000,0
FilePageCache.capacityInBytes,1705423405363000000,1705423465384000000,503316478
FilePageCacheLockFree.heapBytesInUse,1705423405363000000,1705423465384000000,0
FilePageCacheLockFree.totalPagesRequested,1705423405363000000,1705423465384000000,76
StorageLockContext.competingThreads.avg,1705423405363000000,1705423465384000000,0.0
FilePageCacheLockFree.totalBytesRequested,1705423405363000000,1705423465384000000,622592
StreamlinedBlobStorage.recordsDeleted,1705423405363000000,1705423465384000000,27
StorageLockContext.competingThreads.max,1705423405363000000,1705423465384000000,0
DirectByteBufferAllocator.reclaimed,1705423405363000000,1705423465384000000,71
FilePageCacheLockFree.totalPagesReclaimed,1705423405363000000,1705423465384000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1705423405363000000,1705423465384000000,0
DirectByteBufferAllocator.misses,1705423405363000000,1705423465384000000,493
FilePageCacheLockFree.totalPageAllocationsWaited,1705423405363000000,1705423465384000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1705423405363000000,1705423465384000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1705423405363000000,1705423465384000000,1838
FilePageCacheLockFree.totalNativeBytesReclaimed,1705423405363000000,1705423465384000000,0
FilePageCache.disposedBuffers,1705423405363000000,1705423465384000000,71
FilePageCacheLockFree.totalPagesAllocated,1705423405363000000,1705423465384000000,11
FilePageCache.pageLoadsAboveSizeThreshold,1705423405363000000,1705423465384000000,66
FilePageCache.pageFastCacheHits,1705423405363000000,1705423465384000000,19651
MappedFileStorage.storages,1705423405363000000,1705423465384000000,17
FilePageCacheLockFree.housekeeperTurnsSkipped,1705423405363000000,1705423465384000000,54334
FilePageCacheLockFree.totalHeapBytesAllocated,1705423405363000000,1705423465384000000,0
FilePageCache.maxCacheSizeInBytes,1705423405363000000,1705423465384000000,503324672
FilePageCacheLockFree.totalPagesReadMs,1705423405363000000,1705423465384000000,3
FilePageCacheLockFree.totalNativeBytesAllocated,1705423405363000000,1705423465384000000,90112
StreamlinedBlobStorage.recordsRelocated,1705423405363000000,1705423465384000000,0
FilePageCache.totalPageDisposalsUs,1705423405363000000,1705423465384000000,2034
FilePageCacheLockFree.totalBytesRead,1705423405363000000,1705423465384000000,81441
FilePageCache.uncachedFileAccess,1705423405363000000,1705423465384000000,384
FilePageCache.pageLoads,1705423405363000000,1705423465384000000,486
