# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.queueSize90P,1706294853196000000,1706294913204000000,20
FlushQueue.queueSizeAvg,1706294853196000000,1706294913204000000,7.31040533426917
FlushQueue.queueSizeMax,1706294853196000000,1706294913204000000,78
FlushQueue.tasksExecuted,1706294853196000000,1706294913204000000,5699
NonBlockingReadAction.finalizedExecutionTimeUs,1706294853196000000,1706294913204000000,722855
AWTEventQueue.dispatchTimeTotalNS,1706294853196000000,1706294913204000000,7076739223
FlushQueue.executionTimeAvgNs,1706294853196000000,1706294913204000000,591526.4434111248
FlushQueue.waitingTimeAvgNs,1706294853196000000,1706294913204000000,1.6587567244779786E7
AWTEventQueue.dispatchTime90PNs,1706294853196000000,1706294913204000000,1835007
ReadAction.executionsCount,1706294853196000000,1706294913204000000,191042
NonBlockingReadAction.failedExecutionTimeUs,1706294853196000000,1706294913204000000,305338
FlushQueue.waitingTime90PNs,1706294853196000000,1706294913204000000,31719423
AWTEventQueue.eventsDispatched,1706294853196000000,1706294913204000000,5168
AWTEventQueue.dispatchTimeAvgNs,1706294853196000000,1706294913204000000,1367387.6904024768
AWTEventQueue.dispatchTimeMaxNs,1706294853196000000,1706294913204000000,350224383
FlushQueue.executionTime90PNs,1706294853196000000,1706294913204000000,317439
FlushQueue.waitingTimeMaxNs,1706294853196000000,1706294913204000000,591396863
NonBlockingReadAction.failedExecutionsCount,1706294853196000000,1706294913204000000,3
NonBlockingReadAction.finalizedExecutionsCount,1706294853196000000,1706294913204000000,316
FlushQueue.executionTimeMaxNs,1706294853196000000,1706294913204000000,350224383
WriteAction.executionsCount,1706294853196000000,1706294913204000000,61
workspaceModel.moduleBridge.facet.initialization.ms,1706294853196000000,1706294913204000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1706294853196000000,1706294913204000000,252
jps.global.handle.before.change.events.ms,1706294853196000000,1706294913204000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1706294853196000000,1706294913204000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1706294853196000000,1706294913204000000,0
jps.artifact.entities.serializer.save.entities.ms,1706294853196000000,1706294913204000000,0
workspaceModel.global.updates.ms,1706294853196000000,1706294913204000000,0
workspaceModel.save.cache.to.file.ms,1706294853196000000,1706294913204000000,28
jps.project.serializers.save.ms,1706294853196000000,1706294913204000000,1
jps.global.handle.changed.events.ms,1706294853196000000,1706294913204000000,0
jps.global.get.libraries.ms,1706294853196000000,1706294913204000000,0
workspaceModel.moduleBridge.update.option.ms,1706294853196000000,1706294913204000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1706294853196000000,1706294913204000000,1
jps.artifact.entities.serializer.load.entities.ms,1706294853196000000,1706294913204000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1706294853196000000,1706294913204000000,5
