# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.failedExecutionsCount,1706121870094000000,1706121930129000000,3
WriteAction.executionsCount,1706121870094000000,1706121930129000000,8
AWTEventQueue.dispatchTimeMaxNs,1706121870094000000,1706121930129000000,358612991
ReadAction.executionsCount,1706121870094000000,1706121930129000000,109997
AWTEventQueue.dispatchTimeAvgNs,1706121870094000000,1706121930129000000,1890498.4176394292
AWTEventQueue.dispatchTime90PNs,1706121870094000000,1706121930129000000,3047423
FlushQueue.waitingTimeMaxNs,1706121870094000000,1706121930129000000,977272831
FlushQueue.executionTimeAvgNs,1706121870094000000,1706121930129000000,1049403.4641843971
NonBlockingReadAction.finalizedExecutionsCount,1706121870094000000,1706121930129000000,115
NonBlockingReadAction.failedExecutionTimeUs,1706121870094000000,1706121930129000000,244146
FlushQueue.tasksExecuted,1706121870094000000,1706121930129000000,2820
AWTEventQueue.eventsDispatched,1706121870094000000,1706121930129000000,3084
FlushQueue.waitingTimeAvgNs,1706121870094000000,1706121930129000000,4.499409665035461E7
FlushQueue.executionTime90PNs,1706121870094000000,1706121930129000000,536575
FlushQueue.executionTimeMaxNs,1706121870094000000,1706121930129000000,356515839
FlushQueue.queueSizeAvg,1706121870094000000,1706121930129000000,13.784397163120568
AWTEventQueue.dispatchTimeTotalNS,1706121870094000000,1706121930129000000,5828605488
FlushQueue.waitingTime90PNs,1706121870094000000,1706121930129000000,157286399
NonBlockingReadAction.finalizedExecutionTimeUs,1706121870094000000,1706121930129000000,352709
FlushQueue.queueSizeMax,1706121870094000000,1706121930129000000,84
FlushQueue.queueSize90P,1706121870094000000,1706121930129000000,54
FileNameCache.totalMisses,1706121870094000000,1706121930129000000,43263
FileNameCache.queries,1706121870094000000,1706121930129000000,538589
workspaceModel.delayed.project.synchronizer.sync.ms,1706121870094000000,1706121930129000000,238
workspaceModel.global.updates.count,1706121870094000000,1706121930129000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1706121870094000000,1706121930129000000,1
workspaceModel.global.apply.state.to.project.builder.ms,1706121870094000000,1706121930129000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1706121870094000000,1706121930129000000,0
workspaceModel.moduleBridge.before.changed.ms,1706121870094000000,1706121930129000000,0
jps.facet.change.listener.init.bridge.ms,1706121870094000000,1706121930129000000,0
jps.reload.project.entities.ms,1706121870094000000,1706121930129000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1706121870094000000,1706121930129000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1706121870094000000,1706121930129000000,1
jps.load.initial.state.ms,1706121870094000000,1706121930129000000,7
workspaceModel.moduleBridgeLoader.loading.modules.ms,1706121870094000000,1706121930129000000,438
workspaceModel.save.cache.to.file.ms,1706121870094000000,1706121930129000000,31
jps.global.initialize.library.bridges.after.loading.ms,1706121870094000000,1706121930129000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1706121870094000000,1706121930129000000,0
jps.library.entities.serializer.save.entities.ms,1706121870094000000,1706121930129000000,0
workspaceModel.orphan.listener.update.ms,1706121870094000000,1706121930129000000,2
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1706121870094000000,1706121930129000000,0
workspaceModel.load.cache.metadata.from.file.ms,1706121870094000000,1706121930129000000,33
jps.app.storage.content.writer.save.component.ms,1706121870094000000,1706121930129000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1706121870094000000,1706121930129000000,0
jps.module.iml.entities.serializer.load.entities.ms,1706121870094000000,1706121930129000000,14
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1706121870094000000,1706121930129000000,1
jps.artifact.entities.serializer.load.entities.ms,1706121870094000000,1706121930129000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1706121870094000000,1706121930129000000,11
